event_starttime,event_peaktime,event_endtime,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,hpc_coord,hpc_bbox,hpc_radius,hv_hpc_x_final,hv_hpc_y_final,hv_labels_formatted,frm_name,obs_observatory,obs_instrument,obs_channelid,frm_url,event_type,fl_peakflux,fl_peakfluxunit
2014-04-18 12:31:00,2014-04-18T13:03:00,2014-04-18 13:03:00,33.0,35.0,-21.0,-19.0,POINT(503.733378 -256.886466),"POLYGON((16.742462 106.013166,16.742462 106.013166,16.742462 106.013166,16.742462 106.013166,16.742462 106.013166))",565.4537757635544,509.2814705394922,-258.04488228605726,[],SSW Latest Events,SDO,AIA,EUV,http://sohowww.nascom.nasa.gov/solarsoft/packages/gevloc/idl/ssw_flare_locator.pro,FL,,
2014-04-18 04:04:03,2014-04-18T13:00:00,2014-04-18 18:00:03,109.0,1103.0,-946.0,-47.0,POINT(606 -497),"POLYGON((109 -946,1103 -946,1103 -47,109 -47,109 -946))",783.7378388211201,646.9141543405879,-503.6696276207167,[],schryver,SDO,AIA,211,,FL,,
2014-04-18 04:04:03,2014-04-18T13:00:00,2014-04-18 18:00:03,109.0,1103.0,-946.0,-47.0,POINT(606 -497),"POLYGON((109 -946,1103 -946,1103 -47,109 -47,109 -946))",783.7378388211201,646.9141543405879,-503.6696276207167,[],schryver,SDO,HEK,FL,,FL,,
2014-04-18 04:04:03,2014-04-18T13:00:00,2014-04-18 18:00:03,109.0,1103.0,-946.0,-47.0,POINT(606 -497),"POLYGON((109 -946,1103 -946,1103 -47,109 -47,109 -946))",783.7378388211201,646.9141543405879,-503.6696276207167,[],schryver,SDO,AIA,193,,FL,,
2014-04-18 04:04:03,2014-04-18T13:00:00,2014-04-18 18:00:03,109.0,1103.0,-946.0,-47.0,POINT(606 -497),"POLYGON((109 -946,1103 -946,1103 -47,109 -47,109 -946))",783.7378388211201,646.9141543405879,-503.6696276207167,[],schryver,SDO,AIA,171,,FL,,
2014-09-10 16:55:56,2014-09-10T17:32:53,2014-09-10 17:57:56,-210.6000061035156,-108.30001068115234,78.5999984741211,179.10000610351562,POINT(-159.4 128.9),"POLYGON((-210.600012 78.599996,-108.300008 78.599996,-108.300008 179.100004,-210.600012 179.100004,-210.600012 78.599996))",204.9965121654513,-153.37439731909126,129.69649589147204,[],Jakub Prchlik,IRIS,IRIS_SG,Si IV,,FL,,
2014-09-10 16:58:10,2014-09-10T17:46:22,2014-09-10 20:10:22,-230.4,76.8,0.0,230.4,POINT(-115.2 115.2),"POLYGON((-230.4 0,76.8 0,76.8 230.4,-230.4 230.4,-230.4 0))",162.91740238538054,-109.09457757505125,115.9441657257414,{'Peak Flux': '3782.7 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,3782.66,DN/sec/pixel
2014-09-10 17:22:37,2014-09-10T17:59:13,2014-09-10 20:49:13,-230.4,0.0,76.8,230.4,POINT(-115.2 115.2),"POLYGON((-230.4 76.8,0 76.8,0 230.4,-230.4 230.4,-230.4 76.8))",162.91740238538054,-112.72544137723813,115.99749475612052,{'Peak Flux': '2644.3 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,211,http://www.cfa.harvard.edu,FL,2644.28,DN/sec/pixel
2014-09-10 17:23:19,2014-09-10T17:41:55,2014-09-10 20:45:31,-230.4,0.0,0.0,230.4,POINT(-115.2 115.2),"POLYGON((-230.4 0,0 0,0 230.4,-230.4 230.4,-230.4 0))",162.91740238538054,-112.82936703227683,115.99904768490032,{'Peak Flux': '6823.8 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,193,http://www.cfa.harvard.edu,FL,6823.76,DN/sec/pixel
2014-09-10 17:23:24,2014-09-10T17:32:00,2014-09-10 19:50:12,-230.4,0.0,0.0,230.4,POINT(-115.2 115.2),"POLYGON((-230.4 0,0 0,0 230.4,-230.4 230.4,-230.4 0))",162.91740238538054,-112.84173903862168,115.99923265421866,{'Peak Flux': '2821.6 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,171,http://www.cfa.harvard.edu,FL,2821.55,DN/sec/pixel
2014-09-10 17:24:52,2014-09-10T17:57:40,2014-09-10 19:30:40,-153.6,0.0,76.8,230.4,POINT(-115.2 115.2),"POLYGON((-153.6 76.8,0 76.8,0 230.4,-153.6 230.4,-153.6 76.8))",162.91740238538054,-113.05948302305652,116.00249148747504,{'Peak Flux': '270.3 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,335,http://www.cfa.harvard.edu,FL,270.304,DN/sec/pixel
2014-09-10 17:25:56,2014-09-10T17:34:33,2014-09-10 18:18:08,-153.6,-76.8,76.8,153.6,POINT(-115.2 115.2),"POLYGON((-153.6 76.8,-76.8 76.8,-76.8 153.6,-153.6 153.6,-153.6 76.8))",162.91740238538054,-113.21783832497373,116.0048655574153,{'Peak Flux': '857.9 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,304,http://www.cfa.harvard.edu,FL,857.881,DN/sec/pixel
2014-09-10 17:26:14,2014-09-10T17:54:39,2014-09-10 19:34:38,-153.6,0.0,0.0,153.6,POINT(-115.2 115.2),"POLYGON((-153.6 0,0 0,0 153.6,-153.6 153.6,-153.6 0))",162.91740238538054,-113.26237515212723,116.0055338728762,{'Peak Flux': '1298 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,94,http://www.cfa.harvard.edu,FL,1298.0,DN/sec/pixel
2014-09-10 16:44:34,2014-09-10T18:33:34,2014-09-10 18:49:10,0.0,76.8,-460.8,-307.2,POINT(38.4 -422.4),"POLYGON((0 -460.8,76.8 -460.8,76.8 -307.2,0 -307.2,0 -460.8))",424.1418630599908,47.40727445696587,-425.4532812518797,{'Peak Flux': '404.1 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,404.094,DN/sec/pixel
2014-09-10 17:21:00,2014-09-10T17:45:00,2014-09-10 18:20:00,-2.5,-1.5,13.5,14.5,POINT(-32.40036 112.602),"POLYGON((-40.58256 104.3466,-24.35454 104.2758,-24.24852 120.858,-40.40592 120.9288,-40.58256 104.3466))",117.17078873221602,-29.04881121892889,113.4170448955062,{'GOES Class': 'X1.6'},SWPC,GOES,GOES,XRA,http://www.swpc.noaa.gov/,FL,,
2014-09-10 17:21:00,2014-09-10T17:45:00,2014-09-10 17:45:00,-6.0,-4.0,10.0,12.0,POINT(-81.860172 63.099606),"POLYGON((16.696244 -104.077908,16.696244 -104.077908,16.696244 -104.077908,16.696244 -104.077908,16.696244 -104.077908))",103.35689641830785,-78.82811448379721,63.52605852120077,[],SSW Latest Events,SDO,AIA,EUV,http://sohowww.nascom.nasa.gov/solarsoft/packages/gevloc/idl/ssw_flare_locator.pro,FL,,
